filename,std_contrast,michelson_contrast,rms_contrast,mean_intensity,category,effectiveness,dimensions
ID-ANRI_K66a_2482_0578.jpg,41.48,81.2,27.11,153.01,Sedang,Baik,3190x4790
ID-ANRI_K66a_2525_0024.jpg,18.32,75.36,8.92,205.33,Rendah,Terbatas,3087x4774
ID-ANRI_K66b_004_0191.jpg,33.98,91.27,22.29,152.45,Sedang,Baik,2716x4439
ID-ANRI_K66b_005_0526_ori.jpg,33.15,75.49,23.66,140.12,Sedang,Baik,2841x4392
ID-ANRI_K66b_029_003.jpg,28.56,86.72,16.47,173.43,Rendah,Terbatas,2400x3780
ID-ANRI_K66b_055_152.jpg,32.36,74.55,18.77,172.37,Sedang,Baik,2124x2640
ID-ANRI_K66b_057_063.jpg,20.63,87.02,15.71,131.28,Rendah,Terbatas,2249x3552
ID-ANRI_K66b_059_067.jpg,13.03,84.03,6.53,199.55,Rendah,Terbatas,2370x3706
ID-ANRI_K66b_064_128.jpg,20.17,75.89,15.06,133.98,Rendah,Terbatas,2513x3894
ID-ANRI_K66b_064_188.jpg,30.32,75.63,18.19,166.66,Sedang,Baik,2372x3840
ID-ANRI_K66b_064_278.jpg,21.96,88.42,15.71,139.8,Rendah,Terbatas,2547x3849
ID-ANRI_K66b_065_119.jpg,31.79,80.16,18.02,176.39,Sedang,Baik,2315x3705
ID-ANRI_K66b_069_120.jpg,26.58,95.52,19.99,132.99,Rendah,Terbatas,2361x3650
ID-ANRI_K66b_070_179.jpg,18.05,73.28,16.75,107.76,Rendah,Terbatas,2386x3660
ID-ANRI_K66b_082_0064.jpg,40.73,100.0,27.28,149.29,Sedang,Baik,2735x4013
